[Sun Oct 22 09:50:30.011431 2023] [core:error] [pid 24617] [client 173.245.219.41:58269] AH10244: invalid URI path (/../../portfolio/html/images/favicon-32x32.png), referer: http://apple-samsungmarket114.com/../../portfolio/html/images/favicon-32x32.png
[Sun Oct 22 09:50:30.012152 2023] [core:error] [pid 2040] [client 173.245.219.41:56549] AH10244: invalid URI path (/../../portfolio/html/images/iphone_logo3.png), referer: http://apple-samsungmarket114.com/../../portfolio/html/images/iphone_logo3.png
[Sun Oct 22 09:50:30.012317 2023] [core:error] [pid 608] [client 173.245.219.41:43149] AH10244: invalid URI path (/../../portfolio/html/images/iphone_logo1.png), referer: http://apple-samsungmarket114.com/../../portfolio/html/images/iphone_logo1.png
[Sun Oct 22 09:50:30.013688 2023] [core:error] [pid 24599] [client 173.245.219.41:60679] AH10244: invalid URI path (/../../portfolio/html/images/iphone_logo2.png), referer: http://apple-samsungmarket114.com/../../portfolio/html/images/iphone_logo2.png
[Sun Oct 22 09:50:30.603623 2023] [core:error] [pid 7894] [client 38.95.13.134:40079] AH10244: invalid URI path (/../../portfolio/html/images/iphone_logo2.png), referer: http://apple-samsungmarket114.com/../../portfolio/html/images/iphone_logo2.png
[Sun Oct 22 09:50:30.623337 2023] [core:error] [pid 22276] [client 38.95.13.134:42339] AH10244: invalid URI path (/../../portfolio/html/images/favicon-32x32.png), referer: http://apple-samsungmarket114.com/../../portfolio/html/images/favicon-32x32.png
[Sun Oct 22 09:50:30.687861 2023] [core:error] [pid 22293] [client 38.95.13.134:49675] AH10244: invalid URI path (/../../portfolio/html/images/iphone_logo1.png), referer: http://apple-samsungmarket114.com/../../portfolio/html/images/iphone_logo1.png
[Sun Oct 22 09:50:30.688088 2023] [core:error] [pid 22296] [client 38.95.13.134:35511] AH10244: invalid URI path (/../../portfolio/html/images/iphone_logo3.png), referer: http://apple-samsungmarket114.com/../../portfolio/html/images/iphone_logo3.png
[Sun Oct 22 09:50:31.058436 2023] [core:error] [pid 608] [client 192.3.20.54:53135] AH10244: invalid URI path (/../../portfolio/html/images/iphone_logo1.png), referer: http://apple-samsungmarket114.com/../../portfolio/html/images/iphone_logo1.png
[Sun Oct 22 09:50:31.094474 2023] [core:error] [pid 24599] [client 192.3.20.54:57393] AH10244: invalid URI path (/../../portfolio/html/images/iphone_logo2.png), referer: http://apple-samsungmarket114.com/../../portfolio/html/images/iphone_logo2.png
[Sun Oct 22 09:50:31.116395 2023] [core:error] [pid 22276] [client 192.3.20.54:56995] AH10244: invalid URI path (/../../portfolio/html/images/iphone_logo3.png), referer: http://apple-samsungmarket114.com/../../portfolio/html/images/iphone_logo3.png
[Sun Oct 22 09:50:31.144584 2023] [core:error] [pid 22293] [client 192.3.20.54:58923] AH10244: invalid URI path (/../../portfolio/html/images/favicon-32x32.png), referer: http://apple-samsungmarket114.com/../../portfolio/html/images/favicon-32x32.png
[Sun Oct 22 09:50:31.162390 2023] [core:error] [pid 2425] [client 164.90.241.135:53683] AH10244: invalid URI path (/../../portfolio/html/images/iphone_logo3.png), referer: http://apple-samsungmarket114.com/../../portfolio/html/images/iphone_logo3.png
